response_id,question,answer
7,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
7,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
7,"Do you have a support system of friends, family, or community?","Our church helps sometimes, but it’s not enough."
7,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
7,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
7,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
8,Tell us where you’re currently living.,I’m currently living in upstate New York.
8,Tell us about yourself.,"I’m a family guy, worked in factories most of my life."
8,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
8,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
8,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
8,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
8,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
8,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
8,Are you at risk of losing housing in the next 3 months?,"I hope not, but it’s a possibility."
8,"Do you have a support system of friends, family, or community?","Our church helps sometimes, but it’s not enough."
8,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
8,Do you have regular access to mental health support or counseling?,"No, I haven’t been able to get help for that."
8,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
9,Tell us where you’re currently living.,I’m currently living in a rural area in Kentucky.
9,Tell us about yourself.,"I used to drive trucks, but I lost my job last year."
9,What is the biggest reason that you feel like you need help?,I’m trying to hold things together but I need some help to get back on track.
9,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
9,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
9,Are you currently looking for work?,"Yes, every week I’m sending out applications."
9,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
9,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
9,Are you at risk of losing housing in the next 3 months?,"We’re behind, so it’s definitely a risk."
9,"Do you have a support system of friends, family, or community?",We’ve got some family around who help when they can.
9,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
9,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
9,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
10,Tell us where you’re currently living.,I’m currently living in southern Missouri.
10,Tell us about yourself.,"I'm a father of three, been working in retail for most of my life."
10,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
10,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
10,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
10,Are you currently looking for work?,"Yes, every week I’m sending out applications."
10,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
10,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
10,Are you at risk of losing housing in the next 3 months?,There’s a real chance if I don’t find work soon.
10,"Do you have a support system of friends, family, or community?","Our church helps sometimes, but it’s not enough."
10,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
10,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
10,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
11,Tell us where you’re currently living.,I’m currently living in upstate New York.
11,Tell us about yourself.,"I used to do warehouse work, now just looking for anything steady."
11,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
11,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
11,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
11,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
11,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
11,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
11,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
11,"Do you have a support system of friends, family, or community?","We have some family, but they’re not in a position to help much."
11,What kind of support do you wish you had more of?,More job support or training would really help.
11,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
11,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
12,Tell us where you’re currently living.,I’m currently living in central Illinois.
12,Tell us about yourself.,"I'm a single mom, trying to keep things together for my kids."
12,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
12,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
12,What has been the hardest thing for you financially this year?,"Groceries cost so much more than before, and it adds up fast."
12,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
12,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
12,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
12,Are you at risk of losing housing in the next 3 months?,"I hope not, but it’s a possibility."
12,"Do you have a support system of friends, family, or community?","Our church helps sometimes, but it’s not enough."
12,What kind of support do you wish you had more of?,I wish we had more help with childcare.
12,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
12,What has been the most emotionally difficult part of your current situation?,Not knowing when things will get better.
13,Tell us where you’re currently living.,I’m currently living in a rural area in Kentucky.
13,Tell us about yourself.,"I'm a stay-at-home mom, but looking to get back into the workforce."
13,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
13,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
13,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
13,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
13,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
13,What is your biggest challenge related to housing?,Rent is going up and it’s getting hard to keep up.
13,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
13,"Do you have a support system of friends, family, or community?","Mostly just my spouse, we lean on each other a lot."
13,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
13,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
13,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
14,Tell us where you’re currently living.,I’m currently living in the suburbs of Indiana.
14,Tell us about yourself.,"I'm a handyman by trade, but work has dried up recently."
14,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
14,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
14,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
14,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
14,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
14,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
14,Are you at risk of losing housing in the next 3 months?,"We’re behind, so it’s definitely a risk."
14,"Do you have a support system of friends, family, or community?","Friends and neighbors have been supportive, but they have their own struggles."
14,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
14,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
14,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
15,Tell us where you’re currently living.,I’m currently living in the suburbs of Indiana.
15,Tell us about yourself.,"I’m a mom of two, trying to find part-time work while the kids are in school."
15,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
15,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
15,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
15,Are you currently looking for work?,"Yes, but I haven’t had much luck yet."
15,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
15,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
15,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
15,"Do you have a support system of friends, family, or community?",We’ve got some family around who help when they can.
15,What kind of support do you wish you had more of?,I wish we had more help with childcare.
15,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
15,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
16,Tell us where you’re currently living.,I’m currently living in southern Missouri.
16,Tell us about yourself.,"I’m a husband and dad, used to do construction before the layoffs."
16,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
16,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
16,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
16,Are you currently looking for work?,"Yes, every week I’m sending out applications."
16,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
16,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
16,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
16,"Do you have a support system of friends, family, or community?",We’ve got some family around who help when they can.
16,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
16,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
16,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
17,Tell us where you’re currently living.,I’m currently living in northern Georgia.
17,Tell us about yourself.,"I’m a husband and dad, used to do construction before the layoffs."
17,What is the biggest reason that you feel like you need help?,I’m trying to hold things together but I need some help to get back on track.
17,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
17,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
17,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
17,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
17,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
17,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
17,"Do you have a support system of friends, family, or community?","Our church helps sometimes, but it’s not enough."
17,What kind of support do you wish you had more of?,More job support or training would really help.
17,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
17,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
18,Tell us where you’re currently living.,I’m currently living in a rural area in Kentucky.
18,Tell us about yourself.,"I’m a mom of two, trying to find part-time work while the kids are in school."
18,What is the biggest reason that you feel like you need help?,It’s hard to keep food on the table and pay the bills.
18,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
18,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
18,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
18,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
18,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
18,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
18,"Do you have a support system of friends, family, or community?",We’ve got some family around who help when they can.
18,What kind of support do you wish you had more of?,I wish we had more help with childcare.
18,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
18,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
19,Tell us where you’re currently living.,I’m currently living in a rural area in Kentucky.
19,Tell us about yourself.,"I used to drive trucks, but I lost my job last year."
19,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
19,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
19,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
19,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
19,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
19,What is your biggest challenge related to housing?,Our lease is up soon and I’m not sure we can stay.
19,Are you at risk of losing housing in the next 3 months?,There’s a real chance if I don’t find work soon.
19,"Do you have a support system of friends, family, or community?","Our church helps sometimes, but it’s not enough."
19,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
19,Do you have regular access to mental health support or counseling?,"No, I haven’t been able to get help for that."
19,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
20,Tell us where you’re currently living.,I’m currently living in a small city in Michigan.
20,Tell us about yourself.,"I worked as a cook, but hours have been cut badly."
20,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
20,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
20,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
20,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
20,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
20,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
20,Are you at risk of losing housing in the next 3 months?,"We’re behind, so it’s definitely a risk."
20,"Do you have a support system of friends, family, or community?","Our church helps sometimes, but it’s not enough."
20,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
20,Do you have regular access to mental health support or counseling?,"No, I haven’t been able to get help for that."
20,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
21,Tell us where you’re currently living.,I’m currently living in southern Missouri.
21,Tell us about yourself.,"I'm a stay-at-home mom, but looking to get back into the workforce."
21,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
21,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
21,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
21,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
21,What barriers are preventing you from working or earning more income?,"Not many jobs in my area, and I don’t have a way to commute far."
21,What is your biggest challenge related to housing?,Rent is going up and it’s getting hard to keep up.
21,Are you at risk of losing housing in the next 3 months?,There’s a real chance if I don’t find work soon.
21,"Do you have a support system of friends, family, or community?","Mostly just my spouse, we lean on each other a lot."
21,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
21,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
21,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
22,Tell us where you’re currently living.,"I’m currently living in outside of Pittsburgh, Pennsylvania."
22,Tell us about yourself.,"I’m a family guy, worked in factories most of my life."
22,What is the biggest reason that you feel like you need help?,I’m trying to hold things together but I need some help to get back on track.
22,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
22,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
22,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
22,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
22,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
22,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
22,"Do you have a support system of friends, family, or community?","Friends and neighbors have been supportive, but they have their own struggles."
22,What kind of support do you wish you had more of?,More job support or training would really help.
22,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
22,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
23,Tell us where you’re currently living.,I’m currently living in central Illinois.
23,Tell us about yourself.,"I used to drive trucks, but I lost my job last year."
23,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
23,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
23,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
23,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
23,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
23,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
23,Are you at risk of losing housing in the next 3 months?,"I hope not, but it’s a possibility."
23,"Do you have a support system of friends, family, or community?","Mostly just my spouse, we lean on each other a lot."
23,What kind of support do you wish you had more of?,More job support or training would really help.
23,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
23,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
24,Tell us where you’re currently living.,I’m currently living in northern Georgia.
24,Tell us about yourself.,"I'm a father of three, been working in retail for most of my life."
24,What is the biggest reason that you feel like you need help?,I’m trying to hold things together but I need some help to get back on track.
24,What is the most difficult thing you face day to day?,Balancing job hunting with taking care of the kids.
24,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
24,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
24,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
24,What is your biggest challenge related to housing?,Rent is going up and it’s getting hard to keep up.
24,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
24,"Do you have a support system of friends, family, or community?","Mostly just my spouse, we lean on each other a lot."
24,What kind of support do you wish you had more of?,Access to affordable healthcare would ease a lot of stress.
24,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
24,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
25,Tell us where you’re currently living.,"I’m currently living in outside of Pittsburgh, Pennsylvania."
25,Tell us about yourself.,"I’m a family guy, worked in factories most of my life."
25,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
25,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
25,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
25,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
25,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
25,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
25,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
25,"Do you have a support system of friends, family, or community?",We’ve got some family around who help when they can.
25,What kind of support do you wish you had more of?,"Financial help, just to get through the next few months."
25,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
25,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
