response_id,question,answer
5,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
5,What is your biggest challenge related to housing?,Our lease is up soon and I’m not sure we can stay.
5,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
5,"Do you have a support system of friends, family, or community?","I don’t have much support from family, they’re struggling too."
5,What kind of support do you wish you had more of?,I wish we had more help with childcare.
5,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
5,What has been the most emotionally difficult part of your current situation?,Feeling like I’m failing my family.
5,How would you describe your living conditions?,I’m staying in a crowded apartment with little privacy.
6,Tell us where you’re currently living.,I’m currently living in the suburbs of Indiana.
6,Tell us about yourself.,I enjoy watching anime and drawing in my sketchbook.
6,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
6,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
6,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
6,Are you currently looking for work?,"Yes, but I haven’t had much luck yet."
6,What barriers are preventing you from working or earning more income?,"Not many jobs in my area, and I don’t have a way to commute far."
6,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
6,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
6,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
6,What kind of support do you wish you had more of?,More job support or training would really help.
6,Do you have regular access to mental health support or counseling?,"No, I haven’t been able to get help for that."
6,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
6,How would you describe your living conditions?,"The rent is high for what we get, and it’s falling apart."
7,Tell us where you’re currently living.,I’m currently living in central Illinois.
7,Tell us about yourself.,I enjoy watching anime and drawing in my sketchbook.
7,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
7,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
7,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
7,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
7,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
7,What is your biggest challenge related to housing?,Our lease is up soon and I’m not sure we can stay.
7,Are you at risk of losing housing in the next 3 months?,"I hope not, but it’s a possibility."
7,"Do you have a support system of friends, family, or community?","No, I mostly handle things on my own."
7,What kind of support do you wish you had more of?,I wish we had more help with childcare.
7,Do you have regular access to mental health support or counseling?,"No, I haven’t been able to get help for that."
7,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
7,How would you describe your living conditions?,"Our place is small and in bad shape, but it’s all I can afford."
8,Tell us where you’re currently living.,I’m currently living in western North Carolina.
8,Tell us about yourself.,I practice yoga and meditation to stay grounded.
8,What is the biggest reason that you feel like you need help?,I’m trying to hold things together but I need some help to get back on track.
8,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
8,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
8,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
8,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
8,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
8,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
8,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
8,What kind of support do you wish you had more of?,"Financial help, just to get through the next few months."
8,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
8,What has been the most emotionally difficult part of your current situation?,Not knowing when things will get better.
8,How would you describe your living conditions?,"Living conditions are rough, I’m just trying to get by."
9,Tell us where you’re currently living.,I’m currently living in northern Georgia.
9,Tell us about yourself.,"I enjoy playing the violin, it's my way of relaxing."
9,What is the biggest reason that you feel like you need help?,It’s hard to keep food on the table and pay the bills.
9,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
9,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
9,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
9,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
9,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
9,Are you at risk of losing housing in the next 3 months?,"We’re behind, so it’s definitely a risk."
9,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
9,What kind of support do you wish you had more of?,I wish we had more help with childcare.
9,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
9,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
9,How would you describe your living conditions?,The neighborhood isn’t great and it’s hard to feel safe.
10,Tell us where you’re currently living.,I’m currently living in a small city in Michigan.
10,Tell us about yourself.,I enjoy hiking and being outdoors.
10,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
10,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
10,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
10,Are you currently looking for work?,"Yes, every week I’m sending out applications."
10,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
10,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
10,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
10,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
10,What kind of support do you wish you had more of?,I wish we had more help with childcare.
10,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
10,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
10,How would you describe your living conditions?,"Our place is small and in bad shape, but it’s all I can afford."
11,Tell us where you’re currently living.,I’m currently living in upstate New York.
11,Tell us about yourself.,"I’m passionate about photography, especially landscapes."
11,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
11,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
11,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
11,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
11,What barriers are preventing you from working or earning more income?,"Not many jobs in my area, and I don’t have a way to commute far."
11,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
11,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
11,"Do you have a support system of friends, family, or community?","I wish I had more family support, but I don’t."
11,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
11,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
11,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
11,How would you describe your living conditions?,I’m staying in a crowded apartment with little privacy.
12,Tell us where you’re currently living.,"I’m currently living in outside of Pittsburgh, Pennsylvania."
12,Tell us about yourself.,"I’m really into gaming, especially strategy games."
12,What is the biggest reason that you feel like you need help?,It’s hard to keep food on the table and pay the bills.
12,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
12,What has been the hardest thing for you financially this year?,"Groceries cost so much more than before, and it adds up fast."
12,Are you currently looking for work?,"Yes, but I haven’t had much luck yet."
12,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
12,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
12,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
12,"Do you have a support system of friends, family, or community?","I wish I had more family support, but I don’t."
12,What kind of support do you wish you had more of?,More job support or training would really help.
12,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
12,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
12,How would you describe your living conditions?,"The rent is high for what we get, and it’s falling apart."
13,Tell us where you’re currently living.,I’m currently living in a rural area in Kentucky.
13,Tell us about yourself.,I love reading mystery novels when I get the chance.
13,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
13,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
13,What has been the hardest thing for you financially this year?,Rent increases have been brutal this year.
13,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
13,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
13,What is your biggest challenge related to housing?,Our place needs repairs but we can’t afford to move.
13,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
13,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
13,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
13,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
13,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
13,How would you describe your living conditions?,The neighborhood isn’t great and it’s hard to feel safe.
14,Tell us where you’re currently living.,I’m currently living in a small city in Michigan.
14,Tell us about yourself.,"I enjoy playing the violin, it's my way of relaxing."
14,What is the biggest reason that you feel like you need help?,It’s hard to keep food on the table and pay the bills.
14,What is the most difficult thing you face day to day?,Balancing job hunting with taking care of the kids.
14,What has been the hardest thing for you financially this year?,Our car broke down and fixing it took everything we had.
14,Are you currently looking for work?,"Yes, every week I’m sending out applications."
14,What barriers are preventing you from working or earning more income?,"Not many jobs in my area, and I don’t have a way to commute far."
14,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
14,Are you at risk of losing housing in the next 3 months?,"I hope not, but it’s a possibility."
14,"Do you have a support system of friends, family, or community?","I wish I had more family support, but I don’t."
14,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
14,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
14,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
14,How would you describe your living conditions?,"The rent is high for what we get, and it’s falling apart."
15,Tell us where you’re currently living.,I’m currently living in a rural area in Kentucky.
15,Tell us about yourself.,I enjoy watching anime and drawing in my sketchbook.
15,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
15,What is the most difficult thing you face day to day?,Keeping up with everything without enough money coming in.
15,What has been the hardest thing for you financially this year?,"Groceries cost so much more than before, and it adds up fast."
15,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
15,What barriers are preventing you from working or earning more income?,Childcare costs are too high for me to work right now.
15,What is your biggest challenge related to housing?,"It’s tight here, but moving costs too much."
15,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
15,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
15,What kind of support do you wish you had more of?,"Financial help, just to get through the next few months."
15,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
15,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
15,How would you describe your living conditions?,I’m staying in a crowded apartment with little privacy.
16,Tell us where you’re currently living.,"I’m currently living in outside of Pittsburgh, Pennsylvania."
16,Tell us about yourself.,I spend time writing short stories when I can.
16,What is the biggest reason that you feel like you need help?,It’s hard to keep food on the table and pay the bills.
16,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
16,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
16,Are you currently looking for work?,"Yes, every week I’m sending out applications."
16,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
16,What is your biggest challenge related to housing?,Rent is going up and it’s getting hard to keep up.
16,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
16,"Do you have a support system of friends, family, or community?","I wish I had more family support, but I don’t."
16,What kind of support do you wish you had more of?,More job support or training would really help.
16,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
16,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
16,How would you describe your living conditions?,"Our place is small and in bad shape, but it’s all I can afford."
17,Tell us where you’re currently living.,I’m currently living in a small town in Ohio.
17,Tell us about yourself.,"I enjoy playing the violin, it's my way of relaxing."
17,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
17,What is the most difficult thing you face day to day?,Balancing job hunting with taking care of the kids.
17,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
17,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
17,What barriers are preventing you from working or earning more income?,"Not many jobs in my area, and I don’t have a way to commute far."
17,What is your biggest challenge related to housing?,Rent is going up and it’s getting hard to keep up.
17,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
17,"Do you have a support system of friends, family, or community?","I don’t have much support from family, they’re struggling too."
17,What kind of support do you wish you had more of?,I wish we had more help with childcare.
17,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
17,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
17,How would you describe your living conditions?,"Our place is small and in bad shape, but it’s all I can afford."
18,Tell us where you’re currently living.,I’m currently living in a small city in Michigan.
18,Tell us about yourself.,"I’m passionate about photography, especially landscapes."
18,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
18,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
18,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
18,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
18,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
18,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
18,Are you at risk of losing housing in the next 3 months?,"I hope not, but it’s a possibility."
18,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
18,What kind of support do you wish you had more of?,More job support or training would really help.
18,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
18,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
18,How would you describe your living conditions?,"Our place is small and in bad shape, but it’s all I can afford."
19,Tell us where you’re currently living.,I’m currently living in upstate New York.
19,Tell us about yourself.,"I’m passionate about photography, especially landscapes."
19,What is the biggest reason that you feel like you need help?,"Without steady work, it’s hard to make ends meet."
19,What is the most difficult thing you face day to day?,Balancing job hunting with taking care of the kids.
19,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
19,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
19,What barriers are preventing you from working or earning more income?,"There’s work, but not enough hours to get by."
19,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
19,Are you at risk of losing housing in the next 3 months?,There’s a real chance if I don’t find work soon.
19,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
19,What kind of support do you wish you had more of?,"Financial help, just to get through the next few months."
19,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
19,What has been the most emotionally difficult part of your current situation?,The constant stress and uncertainty.
19,How would you describe your living conditions?,"Living conditions are rough, I’m just trying to get by."
20,Tell us where you’re currently living.,I’m currently living in western North Carolina.
20,Tell us about yourself.,"I’m really into gaming, especially strategy games."
20,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
20,What is the most difficult thing you face day to day?,Balancing job hunting with taking care of the kids.
20,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
20,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
20,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
20,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
20,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
20,"Do you have a support system of friends, family, or community?","No, I mostly handle things on my own."
20,What kind of support do you wish you had more of?,"Financial help, just to get through the next few months."
20,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
20,What has been the most emotionally difficult part of your current situation?,Feeling like I’m failing my family.
20,How would you describe your living conditions?,I’m staying in a crowded apartment with little privacy.
21,Tell us where you’re currently living.,I’m currently living in the suburbs of Indiana.
21,Tell us about yourself.,I love reading mystery novels when I get the chance.
21,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
21,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
21,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
21,Are you currently looking for work?,"Yes, I’m looking hard, just nothing’s worked out yet."
21,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
21,What is your biggest challenge related to housing?,Our lease is up soon and I’m not sure we can stay.
21,Are you at risk of losing housing in the next 3 months?,"Yes, if things don’t change soon, we might have to leave."
21,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
21,What kind of support do you wish you had more of?,I wish we had more help with childcare.
21,Do you have regular access to mental health support or counseling?,"No, and it’s hard to find in my area."
21,What has been the most emotionally difficult part of your current situation?,Not knowing when things will get better.
21,How would you describe your living conditions?,I’m staying in a crowded apartment with little privacy.
22,Tell us where you’re currently living.,I’m currently living in western North Carolina.
22,Tell us about yourself.,"I like fixing electronics, it’s kind of a hobby of mine."
22,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
22,What is the most difficult thing you face day to day?,Just the constant stress about money and bills.
22,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
22,Are you currently looking for work?,"Yes, but it’s tough to find anything steady."
22,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
22,What is your biggest challenge related to housing?,Our lease is up soon and I’m not sure we can stay.
22,Are you at risk of losing housing in the next 3 months?,There’s a real chance if I don’t find work soon.
22,"Do you have a support system of friends, family, or community?","No, I mostly handle things on my own."
22,What kind of support do you wish you had more of?,I wish we had more help with childcare.
22,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
22,What has been the most emotionally difficult part of your current situation?,Just the pressure of not being able to provide.
22,How would you describe your living conditions?,"Our place is small and in bad shape, but it’s all I can afford."
23,Tell us where you’re currently living.,I’m currently living in upstate New York.
23,Tell us about yourself.,"I’m passionate about photography, especially landscapes."
23,What is the biggest reason that you feel like you need help?,It’s hard to keep food on the table and pay the bills.
23,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
23,What has been the hardest thing for you financially this year?,Utilities have gone up and it’s hard to keep up.
23,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
23,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
23,What is your biggest challenge related to housing?,Our lease is up soon and I’m not sure we can stay.
23,Are you at risk of losing housing in the next 3 months?,"We’re behind, so it’s definitely a risk."
23,"Do you have a support system of friends, family, or community?","I wish I had more family support, but I don’t."
23,What kind of support do you wish you had more of?,Help with transportation would make a big difference.
23,Do you have regular access to mental health support or counseling?,"No, it’s not something I can afford."
23,What has been the most emotionally difficult part of your current situation?,Trying to stay strong for the kids when I’m struggling inside.
23,How would you describe your living conditions?,I’m staying in a crowded apartment with little privacy.
24,Tell us where you’re currently living.,I’m currently living in southern Missouri.
24,Tell us about yourself.,"I enjoy playing the violin, it's my way of relaxing."
24,What is the biggest reason that you feel like you need help?,"Everything just got more expensive, and we’re falling behind."
24,What is the most difficult thing you face day to day?,Trying to stay hopeful while looking for work.
24,What has been the hardest thing for you financially this year?,We had unexpected medical expenses we couldn’t afford.
24,Are you currently looking for work?,"Yes, I’ve been applying wherever I can."
24,What barriers are preventing you from working or earning more income?,I don’t have the right skills for a lot of the jobs available.
24,What is your biggest challenge related to housing?,We’re behind on rent and trying to catch up.
24,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
24,"Do you have a support system of friends, family, or community?","I wish I had more family support, but I don’t."
24,What kind of support do you wish you had more of?,More job support or training would really help.
24,Do you have regular access to mental health support or counseling?,"No, I don’t have access to that right now."
24,What has been the most emotionally difficult part of your current situation?,Not knowing when things will get better.
24,How would you describe your living conditions?,"The rent is high for what we get, and it’s falling apart."
25,Tell us where you’re currently living.,I’m currently living in a small town in Ohio.
25,Tell us about yourself.,"I’m passionate about photography, especially landscapes."
25,What is the biggest reason that you feel like you need help?,I need help because I’m struggling to provide for my family right now.
25,What is the most difficult thing you face day to day?,Worrying about how I’m going to support my kids.
25,What has been the hardest thing for you financially this year?,"Groceries cost so much more than before, and it adds up fast."
25,Are you currently looking for work?,"Yes, every week I’m sending out applications."
25,What barriers are preventing you from working or earning more income?,Transportation’s a big issue—our car isn’t reliable.
25,What is your biggest challenge related to housing?,Rent is going up and it’s getting hard to keep up.
25,Are you at risk of losing housing in the next 3 months?,It’s something we’re really worried about.
25,"Do you have a support system of friends, family, or community?","No, it’s just me for the most part."
25,What kind of support do you wish you had more of?,"Financial help, just to get through the next few months."
25,Do you have regular access to mental health support or counseling?,"No, I wish I did, but it’s not available."
25,What has been the most emotionally difficult part of your current situation?,Feeling like I’m failing my family.
25,How would you describe your living conditions?,I’m staying in a crowded apartment with little privacy.
